[DEBUG | mv_done_card.py:7] 2018-04-08 17:41:23,605 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 17:41:23,605 >> Start moving done-list cards to archive-list
[INFO | mv_done_card.py:20] 2018-04-08 17:41:25,440 >> Created archive-list(ID: 5ac9d5b5739633e5d483cb43)
[INFO | mv_done_card.py:22] 2018-04-08 17:41:26,794 >> Moved all cards in done-list
[DEBUG | mv_done_card.py:7] 2018-04-08 20:17:36,045 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 20:17:36,047 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-08 20:18:06,021 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 20:18:06,021 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-08 20:20:18,970 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 20:20:18,970 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-08 20:22:56,472 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 20:22:56,473 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-08 20:24:21,554 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 20:24:21,554 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-08 20:40:11,743 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 20:40:11,743 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-08 21:08:23,281 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 21:08:23,282 >> Start moving done-list cards to archive-list
[ERROR | mv_done_card.py:33] 2018-04-08 21:08:24,031 >> No target board in your team(alpha)
[ERROR | mv_done_card.py:33] 2018-04-08 21:08:24,385 >> No target board in your team(bravo)
[DEBUG | mv_done_card.py:7] 2018-04-08 21:10:11,433 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 21:10:11,433 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-08 21:10:43,845 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 21:10:43,845 >> Start moving done-list cards to archive-list
[INFO | mv_done_card.py:23] 2018-04-08 21:10:47,100 >> Created archive-list( alpha)
[INFO | mv_done_card.py:25] 2018-04-08 21:10:48,330 >> Moved all cards in done-list
[ERROR | mv_done_card.py:28] 2018-04-08 21:10:49,141 >> No card in the done-list
[DEBUG | mv_done_card.py:7] 2018-04-08 21:12:59,648 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 21:12:59,648 >> Start moving done-list cards to archive-list
[INFO | mv_done_card.py:23] 2018-04-08 21:13:01,231 >> Created archive-list(alpha)
[INFO | mv_done_card.py:25] 2018-04-08 21:13:02,268 >> Moved all cards in done-list
[ERROR | mv_done_card.py:28] 2018-04-08 21:13:03,424 >> No card in the done-list
[DEBUG | mv_done_card.py:7] 2018-04-08 21:13:16,062 >> =======================================
[INFO | mv_done_card.py:8] 2018-04-08 21:13:16,062 >> Start moving done-list cards to archive-list
[ERROR | mv_done_card.py:28] 2018-04-08 21:13:17,234 >> No card in the done-list
[ERROR | mv_done_card.py:28] 2018-04-08 21:13:18,134 >> No card in the done-list
[DEBUG | create_new_board.py:7] 2018-04-08 22:46:30,417 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 22:46:30,417 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 22:46:31,152 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 22:47:49,235 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 22:47:49,235 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 22:47:50,195 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 22:50:10,107 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 22:50:10,107 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 22:50:10,894 >> No prior board in test93452024
[INFO | create_new_board.py:24] 2018-04-08 22:50:11,512 >> Created new Sprint board(Sprint2 for Apr.) in test93452024
[INFO | create_new_board.py:29] 2018-04-08 22:50:15,807 >> Updated labels
[INFO | create_new_board.py:35] 2018-04-08 22:50:19,801 >> Moved lists
[DEBUG | create_new_board.py:7] 2018-04-08 22:57:04,613 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 22:57:04,613 >> Start creating new Sprint board for each team
[DEBUG | create_new_board.py:7] 2018-04-08 22:57:59,957 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 22:57:59,957 >> Start creating new Sprint board for each team
[DEBUG | create_new_board.py:7] 2018-04-08 23:00:57,528 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:00:57,528 >> Start creating new Sprint board for each team
[DEBUG | create_new_board.py:7] 2018-04-08 23:02:52,650 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:02:52,650 >> Start creating new Sprint board for each team
[DEBUG | create_new_board.py:7] 2018-04-08 23:03:14,649 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:03:14,649 >> Start creating new Sprint board for each team
[DEBUG | create_new_board.py:7] 2018-04-08 23:03:47,027 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:03:47,027 >> Start creating new Sprint board for each team
[DEBUG | create_new_board.py:7] 2018-04-08 23:04:41,114 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:04:41,114 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 23:04:42,083 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 23:04:59,140 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:04:59,140 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 23:04:59,629 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 23:05:18,808 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:05:18,808 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 23:05:19,597 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 23:05:38,914 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:05:38,914 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 23:05:39,875 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 23:05:50,201 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:05:50,201 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 23:05:50,538 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 23:07:16,772 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:07:16,772 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 23:07:17,567 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 23:07:34,127 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:07:34,127 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 23:07:34,771 >> No prior board in test93452024
[DEBUG | create_new_board.py:7] 2018-04-08 23:09:29,482 >> =================================================
[INFO | create_new_board.py:8] 2018-04-08 23:09:29,482 >> Start creating new Sprint board for each team
[ERROR | create_new_board.py:39] 2018-04-08 23:09:29,809 >> No prior board in test93452024
[INFO | create_new_board.py:24] 2018-04-08 23:09:30,917 >> Created new Sprint board(Sprint2 for Apr-) in test93452024
[INFO | create_new_board.py:29] 2018-04-08 23:09:33,040 >> Updated labels
[INFO | create_new_board.py:35] 2018-04-08 23:09:37,955 >> Moved lists
[DEBUG | mv_done_card.py:7] 2018-04-09 02:14:33,298 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:14:33,299 >> Start moving done-list cards to archive-list
[DEBUG | mv_done_card.py:7] 2018-04-09 02:15:54,860 >> =================================================
[INFO | mv_done_card.py:8] 2018-04-09 02:15:54,861 >> Start moving done-list cards to archive-list
